l theta tau
100 5 10.04
100 5 10.04
100 5 10.04
100 5 9.99
100 5 10.04
100 5 10.06
100 5 9.96
100 5 10.04
100 5 10.08
100 5 10.06
100 5 10.07
100 5 10.06
100 5 10.04
100 5 10.04
100 5 10.02
100 5 10.08
100 5 10.03
100 5 10.07
100 5 10.02
100 5 10.02
100 5 10.06
100 5 10.06
100 5 9.99
100 5 10.06
100 5 10.07
100 5 10.03
100 5 10.05
100 5 10.06
100 5 9.98
100 5 10.01
100 5 10.06
100 5 10.03
100 5 10.11
100 5 10.05
100 5 10.04
100 5 10.00
100 5 10.03
100 5 10.00
100 5 10.05
100 5 10.05
100 5 10.12
100 5 9.96
100 5 10.00
100 5 10.01
100 5 10.02
100 5 10.02
100 5 10.12
100 5 9.97
100 5 10.04
100 5 10.07
100 5 10.06
100 5 10.00
100 5 10.05
100 5 10.04
100 5 10.05
100 5 10.06
100 5 10.01
100 5 10.02
100 5 10.01
100 5 10.04
100 5 10.01
100 5 10.04
100 5 9.99
100 5 10.05
100 5 10.07
100 5 10.04
100 5 10.03
100 5 10.01
100 5 10.02
100 5 10.06
100 5 10.03
100 5 10.01
100 5 10.05
100 5 10.03
100 5 10.02
100 5 10.07
100 5 10.06
100 5 10.09
100 5 10.01
100 5 9.97
100 5 10.00
100 5 10.00
100 5 10.05
100 5 10.04
100 5 10.03
100 5 9.95
100 5 10.06
100 5 10.05
100 5 10.04
100 5 10.04
100 5 10.10
100 5 10.13
100 5 10.05
100 5 10.05
100 5 10.02
100 5 9.96
100 5 10.07
100 5 10.02
100 5 10.02
100 5 10.06
100 10 10.00
100 10 10.01
100 10 10.03
100 10 9.95
100 10 10.06
100 10 9.96
100 10 10.07
100 10 10.09
100 10 10.01
100 10 10.00
100 10 10.04
100 10 10.12
100 10 10.04
100 10 9.95
100 10 9.95
100 10 10.06
100 10 10.12
100 10 10.10
100 10 10.09
100 10 10.10
100 20 10.07
100 20 10.12
100 20 10.04
100 20 10.18
100 20 10.12
100 20 10.15
100 20 10.09
100 20 10.10
100 20 10.09
100 20 10.04
100 20 10.07
100 20 10.10
100 20 10.13
100 20 10.09
100 20 10.16
100 20 10.07
100 20 10.07
100 20 10.15
100 20 10.13
100 20 10.07
100 30 10.18
100 30 10.12
100 30 10.06
100 30 10.12
100 30 10.18
100 30 10.13
100 30 10.10
100 30 10.12
100 30 10.26
100 30 10.21
100 30 10.18
100 30 10.20
100 30 10.18
100 30 10.15
100 30 10.23
100 30 10.12
100 30 10.29
100 30 10.26
100 30 10.20
100 30 10.21
100 40 10.33
100 40 10.41
100 40 10.36
100 40 10.26
100 40 10.33
100 40 10.32
100 40 10.27
100 40 10.24
100 40 10.32
100 40 10.29
100 40 10.27
100 40 10.24
100 40 10.32
100 40 10.32
100 40 10.30
100 40 10.24
100 40 10.27
100 40 10.32
100 40 10.32
100 40 10.24
30 5 5.43
30 5 5.55
30 5 5.47
30 5 5.43
30 5 5.55
30 5 5.46
30 5 5.55
30 5 5.53
30 5 5.55
30 5 5.49
60 5 7.73
60 5 7.76
60 5 7.84
60 5 7.75
60 5 7.83
60 5 7.86
60 5 7.73
60 5 7.82
60 5 7.70
60 5 7.77
120 5 10.98
120 5 11.00
120 5 10.98
120 5 11.00
120 5 10.95
120 5 10.95
120 5 10.93
120 5 11.00
120 5 10.98
120 5 10.99
150 5 12.26
150 5 12.34
150 5 12.29
150 5 12.33
150 5 12.26
150 5 12.24
150 5 12.27
150 5 12.24
150 5 12.36
150 5 12.31
